timestamp,bytes
26419,42
26549,12931
26565,19274
26585,42
26627,5945
26638,4794
26649,42
26662,1556
26701,24649
26714,42
26752,25198
26763,42
26806,5291
26817,1565
26827,42
26911,3859
26921,587
26935,42
26947,2980
26957,42
27132,29
27247,1119
27258,4414
27269,42
27412,3859
27423,1765
27433,42
27926,4297
27937,42
28104,17417
28116,42
28126,29
28332,1140
28346,10139
28360,42
28395,2129
28405,42
28417,3859
28439,42
28464,2685
28474,42
28549,1544
28560,42
28650,23135
28673,21882
28683,42
28695,42
28751,22512
28762,42
28849,8979
28862,42
28910,2932
28920,1106
28931,587
28941,42
28952,2609
28962,42
29107,75420
29118,1712
29128,42
29160,29
29171,1184
29182,42
29213,1184
29223,42
29264,1184
29275,42
29316,1184
29327,42
29379,1184
29467,4503
29488,5958
29501,42
29514,1996
29524,42
29535,2290
29550,1559
29560,42
29603,6746
29614,42
30130,29
30223,10755
30234,8968
30272,6293
30307,50221
30318,42
30406,4736
30419,42
30573,2042
30795,1935
30828,24924
30914,26395
30930,22175
30965,28712
30977,5539
30992,5466
31003,42
31039,1734
31052,1843
31062,42
31100,3321
31125,21425
31138,42
31159,1460
31169,42
31210,26098
31221,1469
31232,42
31263,1460
31273,3157
31284,587
31294,42
31311,26548
31322,2242
31334,42
31355,999
31365,1740
31376,42
31407,3859
31418,1436
31429,2162
31440,42
31470,1427
31481,42
31522,1427
31536,13924
31551,7442
31563,21374
31575,8406
31587,14031
31598,1773
31609,922
31619,42
31641,6156
31651,42
31672,7076
31683,42
31705,9150
31716,4072
31728,18086
31743,27055
31758,27055
31775,25202
31787,20634
31801,42
31821,26808
31832,5392
31843,5668
31855,10461
31874,21124
31888,21400
31905,10461
31916,3868
31927,1469
31947,42
32004,21629
32015,1181
32033,22213
32045,22432
32056,42
32072,25213
32089,42
32105,25684
32118,25496
32129,209
32139,29
32152,24922
32162,209
32304,25750
32314,209
32345,46745
32369,21735
32380,218
32404,18864
32416,23165
32430,2657
32451,17659
32462,1141
32472,42
32503,4064
32514,42
32596,1057
32606,42
32617,305
32647,305
32658,9219
32669,42
32683,9484
32693,42
32704,305
32714,1361
32725,42
32766,964
32776,42
32909,3859
32919,42
33113,2129
33124,615
33134,42
33225,24431
33236,42
33268,24840
33279,42
33302,1544
33312,42
33619,461
33630,13425
33640,42
33661,10026
33672,42
33713,1040
33723,42
33809,1222
33891,26103
33902,1267
33952,26356
33965,31552
33983,47875
33995,1556
34005,3531
34016,5998
34027,42
34068,2650
34079,42
34120,3131
34131,70
34162,3524
34173,1267
34184,42
34219,16021
34230,12494
34241,42
34273,7362
34283,1275
34304,26316
34315,2047
34347,29912
34364,24849
34375,1562
34386,10493
34396,42
34408,3859
34419,42
34429,3318
34440,42
34551,2129
34565,21973
34579,22466
34601,45532
34611,42
34640,24847
34650,572
34660,42
34727,22221
34737,42
34789,3483
34799,42
34856,18621
34868,14879
34878,900
34889,4352
34900,4978
34913,1126
34930,22278
34940,4526
34951,42
35053,557
35063,42
35114,557
35125,615
35135,42
35410,3859
35421,2025
35431,42
35573,1027
35583,42
35910,3859
35920,42
36073,1110
36083,42
36124,605
36134,42
36410,3859
36420,42
36528,22987
36539,42
36582,24847
36592,42
36646,482
36657,14009
36667,42
36953,483
36984,1350
36994,42
37005,1707
37016,1696
37026,83
37037,2072
37047,2095
37058,83
37068,1881
37079,83
37120,578
37130,70
37283,2900
37294,42
37396,659
37407,1715
37417,83
37733,661
38132,29
38679,842
38689,843
38712,17671
38725,1071
38735,841
38746,841
38766,841
38785,22724
38797,7673
38809,19311
38820,22717
38841,92
38933,3797
38943,42
38954,1277
39128,29
39176,42
39239,18654
39252,32341
39263,2622
39273,2330
39284,2062
39294,42
39304,2130
39315,42
39366,2130
39376,42
39438,2130
39448,42
39463,32529
39474,42
39535,2130
39546,42
39577,2130
39587,42
39628,2130
39638,42
39669,2130
39680,42
39792,578
39802,42
40128,29
40281,5635
40292,5644
40303,5645
40313,5645
40324,6783
40335,882
40406,5636
40417,5645
40427,42
40438,9508
40449,5644
40459,5560
40470,5560
40481,42
40526,32529
40537,42
40791,577
40801,42
41087,841
41127,29
41260,5635
41271,5645
41282,5645
41292,5645
41303,5645
41314,5645
41325,5645
41335,5645
41346,5645
41358,5645
41368,42
41379,5636
41389,42
41471,11375
41482,12404
41493,42
41504,13222
41514,42
41525,15563
41539,11872
41551,17173
41564,16224
41575,1382
41586,16374
41599,15005
41610,42
41621,14264
41635,20845
41647,13812
41658,1382
41668,42
41681,10945
41691,42
41702,11064
41714,11334
41724,42
41735,10965
41746,11029
41756,42
41767,11427
41779,11032
41790,619
41800,42
41902,11211
41914,11120
41924,42
41936,13830
41948,13646
41958,42
41969,11052
41980,10958
41991,42
42001,11021
42014,10757
42024,42
42035,10975
42046,11222
42056,42
42067,11373
42077,42
42088,10800
42099,11384
42109,42
42120,12214
42130,70
42283,841
42335,841
42386,1468
42396,42
42417,841
42428,5864
42438,5873
42449,5873
42459,5873
42471,6713
42481,1272
42492,5873
42503,5873
42513,5872
42524,5872
42535,5788
42546,5788
42556,42
42567,1263
42585,33167
42595,42
42616,1263
42626,42
42684,33158
42694,42
42746,1331
42756,42
42766,1331
42777,42
42797,1907
42808,83
42829,1331
42839,42
42849,1331
42860,42
42870,1331
42881,1340
42891,42
42901,1331
42912,42
42965,6384
42976,42
43088,1483
43099,42
43130,29
43150,1296
43161,2111
43171,42
43202,841
43223,1433
43233,42
43356,870
43366,42
43489,870
43499,42
43612,1477
43623,42
43644,1374
43655,42
43747,1439
43757,42
43788,578
43799,42
43830,841
43842,21462
43852,42
43883,1477
43893,42
43939,21461
43951,42
44012,870
44022,42
44125,29
44145,871
44156,42
44268,870
44278,42
44360,841
44401,870
44411,42
44578,33581
44589,11268
44599,42
44706,14890
44716,42
44798,577
44809,42
45134,29
45277,2143
45287,2256
45298,24096
45309,24096
45320,24097
45332,24097
45343,24097
45354,24097
45365,24097
45377,24097
45388,24097
45399,24097
45410,24097
45420,42
45757,24088
45768,42
45799,578
45809,42
45836,33849
45846,42
45857,2103
45870,33827
45881,2776
45892,1966
45902,42
45935,57476
45945,42
45988,29347
45998,42
46020,36721
46031,42
46055,65429
46067,42
46132,40434
46142,42
46166,67147
46194,42
46216,33031
46227,42
46279,32821
46290,42
46301,33007
46311,42
46323,34284
46333,42
46348,65385
46358,42
46431,30222
46441,42
46452,32808
46463,42
46527,30443
46539,28806
46549,42
46560,27267
46571,24130
46582,42
46653,3821
46664,7184
46674,42
46685,3493
46695,3502
46706,42
46737,3493
46747,3502
46758,2266
46768,42
46799,577
46809,42
46892,15065
46903,42
46913,15065
46924,15074
46936,15074
46947,15074
46962,49884
46974,29911
46986,15074
46997,15074
47009,29911
47020,15074
47032,15074
47044,15073
47061,49883
47073,29741
47083,42
47124,29
47165,1966
47175,42
47319,2257
47330,4220
47340,42
47361,8077
47371,42
47412,833
47423,42
47464,8077
47474,42
47520,24538
47530,42
47619,24538
47630,24547
47640,42
47793,578
47803,42
47926,2004
47936,42
48130,29
48245,15517
48257,11514
48267,42
48284,37540
48294,42
48379,37540
48390,42
48512,1952
48533,37549
48545,37549
48556,42
48688,8110
48699,12753
48709,42
48791,577
48801,42
48870,33742
48880,42
48972,33742
48989,33751
48999,42
49060,1608
49071,42
49132,29
49311,14109
49321,42
49414,27136
49424,42
49512,27136
49522,42
49581,27136
49591,42
49684,3350
49694,42
49797,578
49807,42
49874,32737
49885,10616
49895,42
49967,10607
49978,3328
49988,42
50131,29
50173,26814
50184,42
50283,53489
50294,42
50416,4158
50427,42
50581,2184
50591,42
50621,29177
50632,10813
50642,42
50704,1909
50714,42
50769,25876
50780,42
50800,577
50811,42
50876,51613
50886,42
51131,29
51264,2877
51275,42
51452,17095
51463,42
51620,29279
51630,42
51719,29279
51732,29288
51742,42
51793,578
51804,10267
51815,10235
51825,42
51856,10245
51866,42
52114,3083
52124,42
52134,29
52301,14699
52311,42
52472,26966
52483,42
52568,26966
52578,42
52590,26966
52600,42
52756,26966
52767,42
52797,3892
52808,83
52819,4157
52829,883
52840,621
52850,42
53085,841
53125,29
53136,3316
53146,42
53431,5070
53444,30221
53454,42
53546,661
53574,47341
53584,208
53626,24847
53636,42
53698,661
53800,578
53810,42
53912,3859
53923,42
54076,1027
54086,42
54127,29
54229,1123
54239,42
54362,3019
54372,42
54413,3859
54424,42
54465,1953
54475,42
54566,661
54698,36045
54708,7956
54748,22735
54758,22
54769,15537
54779,1118
54878,13866
54890,1551
54900,2637
54911,2620
54922,3782
54933,42
54944,27506
54955,42
54965,1806
54976,42
55129,29
55415,3859
55425,42
55462,2188
55473,42
55551,22782
55561,7395
55572,42
55624,1007
55634,42
55709,25569
55720,208
55761,24678
55772,42
55816,1416
55826,42
55888,578
55898,42
55910,7091
55921,6471
55931,42
56014,3427
56024,42
56126,29
56138,24712
56148,42
56181,13071
56192,11750
56202,42
56234,26749
56246,1585
56256,6724
56267,42
56308,827
56318,42
56401,26346
56411,2948
56422,1099
56432,42
56444,13076
56455,11750
56465,42
56598,7614
56608,42
56680,837
56700,2285
56711,2027
56721,42
56762,837
56885,577
56895,42
56916,3859
56926,42
57069,621
57080,42
57130,29
57213,2635
57223,42
57264,837
57397,1029
57407,42
57418,3859
57428,42
57612,2801
57622,42
57653,3062
57663,42
57887,578
57898,3282
57909,42
57919,3859
57929,42
58016,21853
58026,2782
58037,42
58106,53773
58116,42
58155,29
58179,71076
58210,55165
58446,42
58490,61994
58514,6552
58648,2285
58658,2187
58669,42
58710,1184
58720,42
58751,1184
58761,42
58803,1184
58813,42
58854,1184
58864,42
58885,577
58895,42
58906,1184
58916,4186
58927,42
58937,1029
58948,42
58958,1185
58968,42
59026,1185
59036,42
59057,1185
59068,42
59109,1185
59119,42
59129,29
59160,1185
59170,42
59201,1185
59212,42
59253,1185
59263,42
59305,1182
59316,42
59357,1184
59367,42
59408,1184
59419,3868
59430,1121
59440,42
59450,1184
59461,2644
59471,42
59502,1184
59512,42
59553,1184
59565,42
59607,1184
59617,42
59658,1184
59668,42
59709,1184
59720,42
59761,1185
59771,42
59802,1185
59813,42
59854,1185
59864,42
59884,578
59895,42
59905,1185
59916,3868
59926,42
59936,1029
59947,42
59957,1185
59968,42
60009,1185
60019,42
