timestamp,task,len
16597,Collect Garbage,0
16597,Send pictures,1
16597,Cleanup,0
16729,Clipboard event,0
16729,Calculate main window shift,9
16729,Extract data,0
16729,Collect Garbage,0
16729,Send pictures,0
16729,Cleanup,0
16783,Clipboard event,0
16783,Calculate main window shift,22
16783,Extract data,2
16783,Collect Garbage,0
16783,Send pictures,8
16783,Cleanup,0
17373,Clipboard event,0
17373,Calculate main window shift,25
17373,Extract data,0
17373,Collect Garbage,0
17373,Send pictures,1
17373,Cleanup,0
17421,Clipboard event,0
17421,Calculate main window shift,20
17421,Extract data,0
17421,Collect Garbage,0
17421,Send pictures,1
17421,Cleanup,0
17463,Clipboard event,0
17463,Calculate main window shift,1
17463,Extract data,1
17463,Collect Garbage,13
17463,Send pictures,1
17463,Cleanup,0
17832,Clipboard event,0
17832,Calculate main window shift,85
17832,Extract data,0
17832,Collect Garbage,0
17832,Send pictures,1
17832,Cleanup,0
17928,Clipboard event,0
17928,Calculate main window shift,0
17928,Extract data,1
17928,Collect Garbage,27
17928,Send pictures,1
17928,Cleanup,0
18396,Clipboard event,0
18396,Calculate main window shift,8
18396,Extract data,1
18396,Collect Garbage,0
18396,Send pictures,1
18396,Cleanup,0
19489,Clipboard event,0
19489,Calculate main window shift,17
19489,Extract data,2
19489,Collect Garbage,0
19489,Send pictures,4
19489,Cleanup,0
19571,Clipboard event,0
19571,Calculate main window shift,17
19571,Extract data,0
19571,Collect Garbage,0
19571,Send pictures,0
19571,Cleanup,0
19629,Clipboard event,0
19629,Calculate main window shift,42
19629,Extract data,2
19629,Collect Garbage,0
19629,Send pictures,3
19629,Cleanup,0
19730,Clipboard event,1
19730,Calculate main window shift,0
19730,Extract data,1
19730,Collect Garbage,9
19730,Send pictures,0
19730,Cleanup,0
20126,Clipboard event,0
20126,Calculate main window shift,32
20126,Extract data,2
20126,Collect Garbage,0
20126,Send pictures,10
20126,Cleanup,0
20230,Clipboard event,0
20230,Calculate main window shift,33
20230,Extract data,2
20230,Collect Garbage,0
20230,Send pictures,3
20230,Cleanup,1
20428,Clipboard event,0
20428,Calculate main window shift,5
20428,Extract data,1
20428,Collect Garbage,0
20428,Send pictures,3
20428,Cleanup,0
20504,Clipboard event,0
20504,Calculate main window shift,10
20504,Extract data,2
20504,Collect Garbage,0
20504,Send pictures,2
20504,Cleanup,0
20613,Clipboard event,0
20613,Calculate main window shift,20
20613,Extract data,2
20613,Collect Garbage,0
20613,Send pictures,3
20613,Cleanup,0
20830,Clipboard event,0
20830,Calculate main window shift,20
20830,Extract data,0
20830,Collect Garbage,0
20830,Send pictures,0
20830,Cleanup,0
20899,Clipboard event,0
20899,Calculate main window shift,33
20899,Extract data,1
20899,Collect Garbage,0
20899,Send pictures,2
20899,Cleanup,0
20968,Clipboard event,0
20968,Calculate main window shift,9
20968,Extract data,1
20968,Collect Garbage,0
20968,Send pictures,2
20968,Cleanup,0
21027,Clipboard event,0
21027,Calculate main window shift,42
21027,Extract data,1
21027,Collect Garbage,0
21027,Send pictures,2
21027,Cleanup,0
21092,Clipboard event,0
21092,Calculate main window shift,8
21092,Extract data,1
21092,Collect Garbage,0
21092,Send pictures,2
21092,Cleanup,0
21489,Clipboard event,0
21489,Calculate main window shift,109
21489,Extract data,2
21489,Collect Garbage,0
21489,Send pictures,1
21489,Cleanup,0
21611,Clipboard event,0
21611,Calculate main window shift,13
21611,Extract data,1
21611,Collect Garbage,0
21611,Send pictures,1
21611,Cleanup,0
21901,Clipboard event,0
21901,Calculate main window shift,1
21901,Extract data,7
21901,Collect Garbage,0
21901,Send pictures,1
21901,Cleanup,0
21951,Clipboard event,0
21951,Calculate main window shift,15
21951,Extract data,0
21951,Collect Garbage,0
21951,Send pictures,0
21951,Cleanup,0
22116,Clipboard event,0
22116,Calculate main window shift,15
22116,Extract data,2
22116,Collect Garbage,0
22116,Send pictures,1
22116,Cleanup,0
22162,Clipboard event,0
22162,Calculate main window shift,17
22162,Extract data,0
22162,Collect Garbage,0
22162,Send pictures,0
22162,Cleanup,0
22189,Clipboard event,0
22189,Calculate main window shift,11
22189,Extract data,1
22189,Collect Garbage,0
22189,Send pictures,2
22189,Cleanup,1
22214,Clipboard event,0
22214,Calculate main window shift,3
22214,Extract data,5
22214,Collect Garbage,0
22214,Send pictures,1
22214,Cleanup,0
22233,Clipboard event,0
22233,Calculate main window shift,13
22233,Extract data,2
22233,Collect Garbage,0
22233,Send pictures,6
22233,Cleanup,0
22888,Clipboard event,0
22888,Calculate main window shift,11
22888,Extract data,1
22888,Collect Garbage,0
22888,Send pictures,1
22888,Cleanup,0
22943,Clipboard event,0
22943,Calculate main window shift,14
22943,Extract data,2
22943,Collect Garbage,1
22943,Send pictures,3
22943,Cleanup,0
23009,Clipboard event,0
23009,Calculate main window shift,7
23009,Extract data,1
23009,Collect Garbage,0
23009,Send pictures,1
23009,Cleanup,0
23279,Clipboard event,0
23279,Calculate main window shift,7
23279,Extract data,1
23279,Collect Garbage,0
23279,Send pictures,1
23279,Cleanup,0
23728,Clipboard event,0
23728,Calculate main window shift,1
23728,Extract data,10
23728,Collect Garbage,0
23728,Send pictures,0
23728,Cleanup,0
25598,Clipboard event,0
25598,Calculate main window shift,8
25598,Extract data,1
25598,Collect Garbage,0
25598,Send pictures,2
25598,Cleanup,0
25640,Clipboard event,0
25640,Calculate main window shift,9
25640,Extract data,1
25640,Collect Garbage,0
25640,Send pictures,1
25640,Cleanup,1
25662,Clipboard event,0
25662,Calculate main window shift,0
25662,Extract data,8
25662,Collect Garbage,0
25662,Send pictures,0
25662,Cleanup,1
26682,Clipboard event,0
26682,Calculate main window shift,16
26682,Extract data,1
26682,Collect Garbage,0
26682,Send pictures,2
26682,Cleanup,0
26735,Clipboard event,0
26735,Calculate main window shift,10
26735,Extract data,1
26735,Collect Garbage,0
26735,Send pictures,6
26735,Cleanup,0
28580,Clipboard event,1
28580,Calculate main window shift,9
28580,Extract data,0
28580,Collect Garbage,0
28580,Send pictures,0
28580,Cleanup,0
28641,Clipboard event,0
28641,Calculate main window shift,6
28641,Extract data,1
28641,Collect Garbage,0
28641,Send pictures,2
28641,Cleanup,0
28661,Clipboard event,0
28661,Calculate main window shift,10
28661,Extract data,1
28661,Collect Garbage,0
28661,Send pictures,1
28661,Cleanup,0
29067,Clipboard event,0
29067,Calculate main window shift,32
29067,Extract data,3
29067,Collect Garbage,0
29067,Send pictures,5
